"Step","Helium More Expressive - Energy","Helium More Expressive - Energy__MIN","Helium More Expressive - Energy__MAX"
"0","-1.5435322523117065","-1.5435322523117065","-1.5435322523117065"
"1","-1.9636551141738892","-1.9636551141738892","-1.9636551141738892"
"2","-2.2317392826080322","-2.2317392826080322","-2.2317392826080322"
"3","-2.1380159854888916","-2.1380159854888916","-2.1380159854888916"
"4","-2.4402949810028076","-2.4402949810028076","-2.4402949810028076"
"5","-2.6062424182891846","-2.6062424182891846","-2.6062424182891846"
"6","-2.638122320175171","-2.638122320175171","-2.638122320175171"
"7","-2.54803204536438","-2.54803204536438","-2.54803204536438"
"8","-2.5101778507232666","-2.5101778507232666","-2.5101778507232666"
"9","-2.617915630340576","-2.617915630340576","-2.617915630340576"
"10","-2.6567599773406982","-2.6567599773406982","-2.6567599773406982"
"11","-2.642329454421997","-2.642329454421997","-2.642329454421997"
"12","-2.7147228717803955","-2.7147228717803955","-2.7147228717803955"
"13","-2.6168367862701416","-2.6168367862701416","-2.6168367862701416"
"14","-2.6955790519714355","-2.6955790519714355","-2.6955790519714355"
"15","-2.783703088760376","-2.783703088760376","-2.783703088760376"
"16","-2.7115752696990967","-2.7115752696990967","-2.7115752696990967"
"17","-2.74796462059021","-2.74796462059021","-2.74796462059021"
"18","-2.7060816287994385","-2.7060816287994385","-2.7060816287994385"
"19","-2.7776434421539307","-2.7776434421539307","-2.7776434421539307"
"20","-2.9284873008728027","-2.9284873008728027","-2.9284873008728027"
"21","-2.7480106353759766","-2.7480106353759766","-2.7480106353759766"
"22","-2.8443336486816406","-2.8443336486816406","-2.8443336486816406"
"23","-2.8433167934417725","-2.8433167934417725","-2.8433167934417725"
"24","-2.8710684776306152","-2.8710684776306152","-2.8710684776306152"
"25","-3.1272988319396973","-3.1272988319396973","-3.1272988319396973"
"26","-2.807999610900879","-2.807999610900879","-2.807999610900879"
"27","-2.76926589012146","-2.76926589012146","-2.76926589012146"
"28","-2.855233669281006","-2.855233669281006","-2.855233669281006"
"29","-2.815122365951538","-2.815122365951538","-2.815122365951538"
"30","-2.9085891246795654","-2.9085891246795654","-2.9085891246795654"
"31","-2.8153834342956543","-2.8153834342956543","-2.8153834342956543"
"32","-2.901381492614746","-2.901381492614746","-2.901381492614746"
"33","-2.8379523754119873","-2.8379523754119873","-2.8379523754119873"
"34","-2.791322708129883","-2.791322708129883","-2.791322708129883"
"35","-2.9487342834472656","-2.9487342834472656","-2.9487342834472656"
"36","-2.8784961700439453","-2.8784961700439453","-2.8784961700439453"
"37","-2.857285737991333","-2.857285737991333","-2.857285737991333"
"38","-2.851094961166382","-2.851094961166382","-2.851094961166382"
"39","-2.9502968788146973","-2.9502968788146973","-2.9502968788146973"
"40","-3.030181884765625","-3.030181884765625","-3.030181884765625"
"41","-2.9628825187683105","-2.9628825187683105","-2.9628825187683105"
"42","-2.924182653427124","-2.924182653427124","-2.924182653427124"
"43","-2.841505765914917","-2.841505765914917","-2.841505765914917"
"44","-2.8509087562561035","-2.8509087562561035","-2.8509087562561035"
"45","-2.8331592082977295","-2.8331592082977295","-2.8331592082977295"
"46","-2.8585498332977295","-2.8585498332977295","-2.8585498332977295"
"47","-2.86438250541687","-2.86438250541687","-2.86438250541687"
"48","-2.8969922065734863","-2.8969922065734863","-2.8969922065734863"
"49","-2.8152763843536377","-2.8152763843536377","-2.8152763843536377"
"50","-2.8778843879699707","-2.8778843879699707","-2.8778843879699707"
"51","-2.800659418106079","-2.800659418106079","-2.800659418106079"
"52","-2.8893349170684814","-2.8893349170684814","-2.8893349170684814"
"53","-2.9023704528808594","-2.9023704528808594","-2.9023704528808594"
"54","-3.4427225589752197","-3.4427225589752197","-3.4427225589752197"
"55","-2.7471718788146973","-2.7471718788146973","-2.7471718788146973"
"56","-2.8119258880615234","-2.8119258880615234","-2.8119258880615234"
"57","-2.9045276641845703","-2.9045276641845703","-2.9045276641845703"
"58","-2.8080990314483643","-2.8080990314483643","-2.8080990314483643"
"59","-2.823897361755371","-2.823897361755371","-2.823897361755371"
"60","-2.9717676639556885","-2.9717676639556885","-2.9717676639556885"
"61","-2.8869316577911377","-2.8869316577911377","-2.8869316577911377"
"62","-2.869091033935547","-2.869091033935547","-2.869091033935547"
"63","-2.895420551300049","-2.895420551300049","-2.895420551300049"
"64","-2.787584066390991","-2.787584066390991","-2.787584066390991"
"65","-2.7511699199676514","-2.7511699199676514","-2.7511699199676514"
"66","-2.8249289989471436","-2.8249289989471436","-2.8249289989471436"
"67","-2.7731988430023193","-2.7731988430023193","-2.7731988430023193"
"68","-3.0773708820343018","-3.0773708820343018","-3.0773708820343018"
"69","-2.9071221351623535","-2.9071221351623535","-2.9071221351623535"
"70","-2.90138578414917","-2.90138578414917","-2.90138578414917"
"71","-2.997567653656006","-2.997567653656006","-2.997567653656006"
"72","-2.784298896789551","-2.784298896789551","-2.784298896789551"
"73","-2.825030565261841","-2.825030565261841","-2.825030565261841"
