"Step","BORO_FAST - Energy","BORO_FAST - Energy__MIN","BORO_FAST - Energy__MAX"
"0","-5.611110210418701","-5.611110210418701","-5.611110210418701"
"1","-9.747182846069336","-9.747182846069336","-9.747182846069336"
"2","-10.98074722290039","-10.98074722290039","-10.98074722290039"
"3","-12.223159790039062","-12.223159790039062","-12.223159790039062"
"4","-11.369630813598633","-11.369630813598633","-11.369630813598633"
"5","-13.682011604309082","-13.682011604309082","-13.682011604309082"
"6","-11.493372917175293","-11.493372917175293","-11.493372917175293"
"7","-14.723089218139648","-14.723089218139648","-14.723089218139648"
"8","-14.049127578735352","-14.049127578735352","-14.049127578735352"
"9","-13.911442756652832","-13.911442756652832","-13.911442756652832"
"10","-13.83755874633789","-13.83755874633789","-13.83755874633789"
"11","-13.328057289123535","-13.328057289123535","-13.328057289123535"
"12","-14.521110534667969","-14.521110534667969","-14.521110534667969"
"13","-13.30965805053711","-13.30965805053711","-13.30965805053711"
"14","-12.765857696533203","-12.765857696533203","-12.765857696533203"
"15","-13.233558654785156","-13.233558654785156","-13.233558654785156"
"16","-12.915257453918457","-12.915257453918457","-12.915257453918457"
"17","-13.706263542175293","-13.706263542175293","-13.706263542175293"
"18","-12.971092224121094","-12.971092224121094","-12.971092224121094"
"19","-13.45194149017334","-13.45194149017334","-13.45194149017334"
"20","-13.398359298706055","-13.398359298706055","-13.398359298706055"
"21","-13.703737258911133","-13.703737258911133","-13.703737258911133"
"22","-13.194211959838867","-13.194211959838867","-13.194211959838867"
"23","-14.377357482910156","-14.377357482910156","-14.377357482910156"
"24","-18.723995208740234","-18.723995208740234","-18.723995208740234"
"25","-14.134749412536621","-14.134749412536621","-14.134749412536621"
"26","-14.22357177734375","-14.22357177734375","-14.22357177734375"
"27","-14.003539085388184","-14.003539085388184","-14.003539085388184"
"28","-13.936590194702148","-13.936590194702148","-13.936590194702148"
"29","-14.143662452697754","-14.143662452697754","-14.143662452697754"
"30","-13.836745262145996","-13.836745262145996","-13.836745262145996"
"31","-15.145631790161133","-15.145631790161133","-15.145631790161133"
"32","-14.248479843139648","-14.248479843139648","-14.248479843139648"
"33","-13.868834495544434","-13.868834495544434","-13.868834495544434"
"34","-13.33705997467041","-13.33705997467041","-13.33705997467041"
"35","-13.993937492370605","-13.993937492370605","-13.993937492370605"
"36","-14.117070198059082","-14.117070198059082","-14.117070198059082"
"37","-13.942676544189453","-13.942676544189453","-13.942676544189453"
"38","-13.695394515991211","-13.695394515991211","-13.695394515991211"
"39","-13.803994178771973","-13.803994178771973","-13.803994178771973"
"40","-14.460905075073242","-14.460905075073242","-14.460905075073242"
"41","-14.399261474609375","-14.399261474609375","-14.399261474609375"
"42","-15.374396324157715","-15.374396324157715","-15.374396324157715"
"43","-13.447938919067383","-13.447938919067383","-13.447938919067383"
"44","-13.880646705627441","-13.880646705627441","-13.880646705627441"
"45","-13.934502601623535","-13.934502601623535","-13.934502601623535"
"46","-23.561494827270508","-23.561494827270508","-23.561494827270508"
"47","-14.380653381347656","-14.380653381347656","-14.380653381347656"
"48","-13.960013389587402","-13.960013389587402","-13.960013389587402"
"49","-14.025521278381348","-14.025521278381348","-14.025521278381348"
"50","-14.154593467712402","-14.154593467712402","-14.154593467712402"
"51","-15.200706481933594","-15.200706481933594","-15.200706481933594"
"52","-13.927661895751953","-13.927661895751953","-13.927661895751953"
"53","-14.965234756469727","-14.965234756469727","-14.965234756469727"
"54","-13.988916397094727","-13.988916397094727","-13.988916397094727"
"55","-13.839842796325684","-13.839842796325684","-13.839842796325684"
"56","-13.992562294006348","-13.992562294006348","-13.992562294006348"
"57","-14.633334159851074","-14.633334159851074","-14.633334159851074"
"58","-14.398798942565918","-14.398798942565918","-14.398798942565918"
"59","-14.444528579711914","-14.444528579711914","-14.444528579711914"
"60","-14.121380805969238","-14.121380805969238","-14.121380805969238"
"61","-15.471856117248535","-15.471856117248535","-15.471856117248535"
"62","-14.314687728881836","-14.314687728881836","-14.314687728881836"
"63","-14.205123901367188","-14.205123901367188","-14.205123901367188"
"64","-14.045886039733887","-14.045886039733887","-14.045886039733887"
"65","-14.83771800994873","-14.83771800994873","-14.83771800994873"
"66","-13.707816123962402","-13.707816123962402","-13.707816123962402"
"67","-14.169525146484375","-14.169525146484375","-14.169525146484375"
"68","-13.77167797088623","-13.77167797088623","-13.77167797088623"
"69","-14.201033592224121","-14.201033592224121","-14.201033592224121"
"70","-13.857008934020996","-13.857008934020996","-13.857008934020996"
"71","-13.901039123535156","-13.901039123535156","-13.901039123535156"
"72","-14.318449020385742","-14.318449020385742","-14.318449020385742"
"73","-17.273544311523438","-17.273544311523438","-17.273544311523438"
"74","-14.200945854187012","-14.200945854187012","-14.200945854187012"
"75","-16.41138458251953","-16.41138458251953","-16.41138458251953"
"76","-13.977688789367676","-13.977688789367676","-13.977688789367676"
"77","-14.000049591064453","-14.000049591064453","-14.000049591064453"
"78","-13.387746810913086","-13.387746810913086","-13.387746810913086"
"79","-14.754624366760254","-14.754624366760254","-14.754624366760254"
"80","-17.31745147705078","-17.31745147705078","-17.31745147705078"
"81","-13.879716873168945","-13.879716873168945","-13.879716873168945"
