"Step","CUDA_BATCHED_HIDROGEN - Energy","CUDA_BATCHED_HIDROGEN - Energy__MIN","CUDA_BATCHED_HIDROGEN - Energy__MAX"
"0","-0.32627713680267334","-0.32627713680267334","-0.32627713680267334"
"1","-0.31821155548095703","-0.31821155548095703","-0.31821155548095703"
"2","-0.44074156880378723","-0.44074156880378723","-0.44074156880378723"
"3","-0.47443854808807373","-0.47443854808807373","-0.47443854808807373"
"4","-0.4900711178779602","-0.4900711178779602","-0.4900711178779602"
"5","-0.48369863629341125","-0.48369863629341125","-0.48369863629341125"
"6","-0.49504125118255615","-0.49504125118255615","-0.49504125118255615"
"7","-0.48669904470443726","-0.48669904470443726","-0.48669904470443726"
"8","-0.4878116846084595","-0.4878116846084595","-0.4878116846084595"
"9","-0.5004267692565918","-0.5004267692565918","-0.5004267692565918"
"10","-0.4952860474586487","-0.4952860474586487","-0.4952860474586487"
"11","-0.49586257338523865","-0.49586257338523865","-0.49586257338523865"
"12","-0.496782124042511","-0.496782124042511","-0.496782124042511"
"13","-0.4926011264324188","-0.4926011264324188","-0.4926011264324188"
"14","-0.49748528003692627","-0.49748528003692627","-0.49748528003692627"
"15","-0.49621978402137756","-0.49621978402137756","-0.49621978402137756"
"16","-0.5016779899597168","-0.5016779899597168","-0.5016779899597168"
"17","-0.4997861385345459","-0.4997861385345459","-0.4997861385345459"
"18","-0.495304673910141","-0.495304673910141","-0.495304673910141"
"19","-0.4985877573490143","-0.4985877573490143","-0.4985877573490143"
"20","-0.49868372082710266","-0.49868372082710266","-0.49868372082710266"
"21","-0.49932920932769775","-0.49932920932769775","-0.49932920932769775"
"22","-0.4998912811279297","-0.4998912811279297","-0.4998912811279297"
"23","-0.5006946325302124","-0.5006946325302124","-0.5006946325302124"
"24","-0.5014108419418335","-0.5014108419418335","-0.5014108419418335"
"25","-0.5001921057701111","-0.5001921057701111","-0.5001921057701111"
"26","-0.4971718490123749","-0.4971718490123749","-0.4971718490123749"
"27","-0.5008226037025452","-0.5008226037025452","-0.5008226037025452"
"28","-0.49990522861480713","-0.49990522861480713","-0.49990522861480713"
"29","-0.4996702969074249","-0.4996702969074249","-0.4996702969074249"
"30","-0.501959502696991","-0.501959502696991","-0.501959502696991"
"31","-0.499399334192276","-0.499399334192276","-0.499399334192276"
"32","-0.4986153542995453","-0.4986153542995453","-0.4986153542995453"
"33","-0.4978383183479309","-0.4978383183479309","-0.4978383183479309"
"34","-0.4989773631095886","-0.4989773631095886","-0.4989773631095886"
"35","-0.5012832880020142","-0.5012832880020142","-0.5012832880020142"
"36","-0.501471757888794","-0.501471757888794","-0.501471757888794"
"37","-0.498477041721344","-0.498477041721344","-0.498477041721344"
"38","-0.4991191327571869","-0.4991191327571869","-0.4991191327571869"
"39","-0.49879252910614014","-0.49879252910614014","-0.49879252910614014"
"40","-0.4991486668586731","-0.4991486668586731","-0.4991486668586731"
"41","-0.5000518560409546","-0.5000518560409546","-0.5000518560409546"
"42","-0.4998598098754883","-0.4998598098754883","-0.4998598098754883"
"43","-0.5001961588859558","-0.5001961588859558","-0.5001961588859558"
"44","-0.49948641657829285","-0.49948641657829285","-0.49948641657829285"
"45","-0.5002276301383972","-0.5002276301383972","-0.5002276301383972"
"46","-0.5001544952392578","-0.5001544952392578","-0.5001544952392578"
"47","-0.5001932382583618","-0.5001932382583618","-0.5001932382583618"
"48","-0.5009986758232117","-0.5009986758232117","-0.5009986758232117"
"49","-0.5001890063285828","-0.5001890063285828","-0.5001890063285828"
"50","-0.49983590841293335","-0.49983590841293335","-0.49983590841293335"
"51","-0.500440239906311","-0.500440239906311","-0.500440239906311"
"52","-0.4997379183769226","-0.4997379183769226","-0.4997379183769226"
"53","-0.49937379360198975","-0.49937379360198975","-0.49937379360198975"
"54","-0.4998772144317627","-0.4998772144317627","-0.4998772144317627"
"55","-0.5014044046401978","-0.5014044046401978","-0.5014044046401978"
"56","-0.49893638491630554","-0.49893638491630554","-0.49893638491630554"
"57","-0.4993978440761566","-0.4993978440761566","-0.4993978440761566"
"58","-0.5001693964004517","-0.5001693964004517","-0.5001693964004517"
"59","-0.5002959370613098","-0.5002959370613098","-0.5002959370613098"
"60","-0.49958178400993347","-0.49958178400993347","-0.49958178400993347"
"61","-0.5000813603401184","-0.5000813603401184","-0.5000813603401184"
"62","-0.4997626841068268","-0.4997626841068268","-0.4997626841068268"
"63","-0.500128448009491","-0.500128448009491","-0.500128448009491"
"64","-0.500099241733551","-0.500099241733551","-0.500099241733551"
"65","-0.49971774220466614","-0.49971774220466614","-0.49971774220466614"
"66","-0.4996398389339447","-0.4996398389339447","-0.4996398389339447"
"67","-0.499748557806015","-0.499748557806015","-0.499748557806015"
"68","-0.5004962682723999","-0.5004962682723999","-0.5004962682723999"
"69","-0.5001611113548279","-0.5001611113548279","-0.5001611113548279"
"70","-0.4996855556964874","-0.4996855556964874","-0.4996855556964874"
"71","-0.49969327449798584","-0.49969327449798584","-0.49969327449798584"
"72","-0.5004017353057861","-0.5004017353057861","-0.5004017353057861"
"73","-0.4992969036102295","-0.4992969036102295","-0.4992969036102295"
"74","-0.49960553646087646","-0.49960553646087646","-0.49960553646087646"
"75","-0.4997374415397644","-0.4997374415397644","-0.4997374415397644"
"76","-0.4992261230945587","-0.4992261230945587","-0.4992261230945587"
"77","-0.49953362345695496","-0.49953362345695496","-0.49953362345695496"
"78","-0.4997656047344208","-0.4997656047344208","-0.4997656047344208"
"79","-0.49978235363960266","-0.49978235363960266","-0.49978235363960266"
"80","-0.5000149011611938","-0.5000149011611938","-0.5000149011611938"
"81","-0.499781996011734","-0.499781996011734","-0.499781996011734"
"82","-0.49954038858413696","-0.49954038858413696","-0.49954038858413696"
"83","-0.4998997747898102","-0.4998997747898102","-0.4998997747898102"
"84","-0.5002408027648926","-0.5002408027648926","-0.5002408027648926"
"85","-0.49981221556663513","-0.49981221556663513","-0.49981221556663513"
"86","-0.49972808361053467","-0.49972808361053467","-0.49972808361053467"
"87","-0.49999725818634033","-0.49999725818634033","-0.49999725818634033"
"88","-0.499788761138916","-0.499788761138916","-0.499788761138916"
"89","-0.5000346899032593","-0.5000346899032593","-0.5000346899032593"
"90","-0.4999487102031708","-0.4999487102031708","-0.4999487102031708"
"91","-0.49985620379447937","-0.49985620379447937","-0.49985620379447937"
"92","-0.4999231696128845","-0.4999231696128845","-0.4999231696128845"
"93","-0.4996354579925537","-0.4996354579925537","-0.4996354579925537"
"94","-0.5001978278160095","-0.5001978278160095","-0.5001978278160095"
"95","-0.499851793050766","-0.499851793050766","-0.499851793050766"
"96","-0.5001054406166077","-0.5001054406166077","-0.5001054406166077"
"97","-0.4995596408843994","-0.4995596408843994","-0.4995596408843994"
"98","-0.5002301335334778","-0.5002301335334778","-0.5002301335334778"
"99","-0.5000271797180176","-0.5000271797180176","-0.5000271797180176"
"100","-0.499600887298584","-0.499600887298584","-0.499600887298584"
"101","-0.5001974701881409","-0.5001974701881409","-0.5001974701881409"
"102","-0.4999507665634155","-0.4999507665634155","-0.4999507665634155"
"103","-0.49977990984916687","-0.49977990984916687","-0.49977990984916687"
"104","-0.5000782608985901","-0.5000782608985901","-0.5000782608985901"
"105","-0.4998319149017334","-0.4998319149017334","-0.4998319149017334"
"106","-0.4996187090873718","-0.4996187090873718","-0.4996187090873718"
"107","-0.49990126490592957","-0.49990126490592957","-0.49990126490592957"
"108","-0.49996116757392883","-0.49996116757392883","-0.49996116757392883"
"109","-0.49982544779777527","-0.49982544779777527","-0.49982544779777527"
"110","-0.4998827278614044","-0.4998827278614044","-0.4998827278614044"
"111","-0.49971523880958557","-0.49971523880958557","-0.49971523880958557"
"112","-0.49987518787384033","-0.49987518787384033","-0.49987518787384033"
"113","-0.500248908996582","-0.500248908996582","-0.500248908996582"
"114","-0.5002231001853943","-0.5002231001853943","-0.5002231001853943"
"115","-0.4998921751976013","-0.4998921751976013","-0.4998921751976013"
"116","-0.499880313873291","-0.499880313873291","-0.499880313873291"
"117","-0.5000404119491577","-0.5000404119491577","-0.5000404119491577"
"118","-0.500123143196106","-0.500123143196106","-0.500123143196106"
"119","-0.5002024173736572","-0.5002024173736572","-0.5002024173736572"
"120","-0.5004834532737732","-0.5004834532737732","-0.5004834532737732"
"121","-0.5002028942108154","-0.5002028942108154","-0.5002028942108154"
"122","-0.49986475706100464","-0.49986475706100464","-0.49986475706100464"
"123","-0.4997570514678955","-0.4997570514678955","-0.4997570514678955"
"124","-0.5002977252006531","-0.5002977252006531","-0.5002977252006531"
"125","-0.49994519352912903","-0.49994519352912903","-0.49994519352912903"
"126","-0.49990785121917725","-0.49990785121917725","-0.49990785121917725"
"127","-0.499701589345932","-0.499701589345932","-0.499701589345932"
"128","-0.49962684512138367","-0.49962684512138367","-0.49962684512138367"
"129","-0.5001621246337891","-0.5001621246337891","-0.5001621246337891"
"130","-0.499957799911499","-0.499957799911499","-0.499957799911499"
"131","-0.49992072582244873","-0.49992072582244873","-0.49992072582244873"
"132","-0.4997848868370056","-0.4997848868370056","-0.4997848868370056"
"133","-0.49969470500946045","-0.49969470500946045","-0.49969470500946045"
"134","-0.49989503622055054","-0.49989503622055054","-0.49989503622055054"
