"Step","LITHIUM_SOTA - Energy","LITHIUM_SOTA - Energy__MIN","LITHIUM_SOTA - Energy__MAX"
"0","-3.4329235553741455","-3.4329235553741455","-3.4329235553741455"
"1","-5.452533721923828","-5.452533721923828","-5.452533721923828"
"2","-6.005183219909668","-6.005183219909668","-6.005183219909668"
"3","-3.9583020210266113","-3.9583020210266113","-3.9583020210266113"
"4","-5.392697334289551","-5.392697334289551","-5.392697334289551"
"5","-5.804967880249023","-5.804967880249023","-5.804967880249023"
"6","-5.974123001098633","-5.974123001098633","-5.974123001098633"
"7","-6.26396369934082","-6.26396369934082","-6.26396369934082"
"8","-6.021994113922119","-6.021994113922119","-6.021994113922119"
"9","-6.598058700561523","-6.598058700561523","-6.598058700561523"
"10","-6.651700973510742","-6.651700973510742","-6.651700973510742"
"11","-6.6986541748046875","-6.6986541748046875","-6.6986541748046875"
"12","-6.882503032684326","-6.882503032684326","-6.882503032684326"
"13","-6.75143575668335","-6.75143575668335","-6.75143575668335"
"14","-6.9128947257995605","-6.9128947257995605","-6.9128947257995605"
"15","-6.917477607727051","-6.917477607727051","-6.917477607727051"
"16","-6.949051380157471","-6.949051380157471","-6.949051380157471"
"17","-7.073134422302246","-7.073134422302246","-7.073134422302246"
"18","-7.002205848693848","-7.002205848693848","-7.002205848693848"
"19","-7.2165327072143555","-7.2165327072143555","-7.2165327072143555"
"20","-7.41109561920166","-7.41109561920166","-7.41109561920166"
"21","-7.111565113067627","-7.111565113067627","-7.111565113067627"
"22","-7.252657890319824","-7.252657890319824","-7.252657890319824"
"23","-7.034491539001465","-7.034491539001465","-7.034491539001465"
"24","-7.168745040893555","-7.168745040893555","-7.168745040893555"
"25","-7.127997398376465","-7.127997398376465","-7.127997398376465"
"26","-7.145479202270508","-7.145479202270508","-7.145479202270508"
"27","-7.28215217590332","-7.28215217590332","-7.28215217590332"
"28","-7.416759490966797","-7.416759490966797","-7.416759490966797"
"29","-7.311869144439697","-7.311869144439697","-7.311869144439697"
"30","-7.111903190612793","-7.111903190612793","-7.111903190612793"
"31","-7.011757850646973","-7.011757850646973","-7.011757850646973"
"32","-6.8498125076293945","-6.8498125076293945","-6.8498125076293945"
"33","-6.791168212890625","-6.791168212890625","-6.791168212890625"
"34","-6.939001560211182","-6.939001560211182","-6.939001560211182"
"35","-7.1394171714782715","-7.1394171714782715","-7.1394171714782715"
"36","-7.060146808624268","-7.060146808624268","-7.060146808624268"
"37","-7.110739231109619","-7.110739231109619","-7.110739231109619"
"38","-7.858421325683594","-7.858421325683594","-7.858421325683594"
"39","-6.868870735168457","-6.868870735168457","-6.868870735168457"
"40","-7.2675018310546875","-7.2675018310546875","-7.2675018310546875"
"41","-7.310110092163086","-7.310110092163086","-7.310110092163086"
"42","-7.2004852294921875","-7.2004852294921875","-7.2004852294921875"
"43","-6.994531631469727","-6.994531631469727","-6.994531631469727"
"44","-7.0883402824401855","-7.0883402824401855","-7.0883402824401855"
"45","-7.099344730377197","-7.099344730377197","-7.099344730377197"
"46","-7.425009250640869","-7.425009250640869","-7.425009250640869"
"47","-7.260965347290039","-7.260965347290039","-7.260965347290039"
"48","-7.113380432128906","-7.113380432128906","-7.113380432128906"
"49","-7.237856864929199","-7.237856864929199","-7.237856864929199"
"50","-7.33787727355957","-7.33787727355957","-7.33787727355957"
"51","-7.200084686279297","-7.200084686279297","-7.200084686279297"
"52","-7.180724143981934","-7.180724143981934","-7.180724143981934"
"53","-7.259133338928223","-7.259133338928223","-7.259133338928223"
"54","-7.371548652648926","-7.371548652648926","-7.371548652648926"
"55","-7.199709415435791","-7.199709415435791","-7.199709415435791"
"56","-7.277900695800781","-7.277900695800781","-7.277900695800781"
"57","-7.535385608673096","-7.535385608673096","-7.535385608673096"
"58","-7.334618091583252","-7.334618091583252","-7.334618091583252"
"59","-7.392611026763916","-7.392611026763916","-7.392611026763916"
"60","-7.291021347045898","-7.291021347045898","-7.291021347045898"
"61","-7.460165977478027","-7.460165977478027","-7.460165977478027"
"62","-7.303732395172119","-7.303732395172119","-7.303732395172119"
"63","-7.4155778884887695","-7.4155778884887695","-7.4155778884887695"
"64","-7.353816032409668","-7.353816032409668","-7.353816032409668"
"65","-7.345763206481934","-7.345763206481934","-7.345763206481934"
"66","-7.296695709228516","-7.296695709228516","-7.296695709228516"
"67","-7.518356800079346","-7.518356800079346","-7.518356800079346"
"68","-7.352392196655273","-7.352392196655273","-7.352392196655273"
"69","-7.372201919555664","-7.372201919555664","-7.372201919555664"
"70","-7.315855026245117","-7.315855026245117","-7.315855026245117"
"71","-7.219374656677246","-7.219374656677246","-7.219374656677246"
"72","-7.430362224578857","-7.430362224578857","-7.430362224578857"
"73","-7.300429344177246","-7.300429344177246","-7.300429344177246"
"74","-7.370752334594727","-7.370752334594727","-7.370752334594727"
"75","-7.436527252197266","-7.436527252197266","-7.436527252197266"
"76","-7.4456787109375","-7.4456787109375","-7.4456787109375"
"77","-7.458406448364258","-7.458406448364258","-7.458406448364258"
"78","-7.338201522827148","-7.338201522827148","-7.338201522827148"
"79","-7.369245529174805","-7.369245529174805","-7.369245529174805"
"80","-7.28508996963501","-7.28508996963501","-7.28508996963501"
"81","-7.237300395965576","-7.237300395965576","-7.237300395965576"
"82","-7.443342685699463","-7.443342685699463","-7.443342685699463"
"83","-7.350295066833496","-7.350295066833496","-7.350295066833496"
"84","-7.53513765335083","-7.53513765335083","-7.53513765335083"
"85","-7.285859107971191","-7.285859107971191","-7.285859107971191"
"86","-7.219661235809326","-7.219661235809326","-7.219661235809326"
"87","-7.382765769958496","-7.382765769958496","-7.382765769958496"
"88","-7.91569709777832","-7.91569709777832","-7.91569709777832"
"89","-7.3785905838012695","-7.3785905838012695","-7.3785905838012695"
"90","-7.288357734680176","-7.288357734680176","-7.288357734680176"
"91","-7.3781938552856445","-7.3781938552856445","-7.3781938552856445"
"92","-7.332248687744141","-7.332248687744141","-7.332248687744141"
"93","-7.378814697265625","-7.378814697265625","-7.378814697265625"
"94","-7.3921356201171875","-7.3921356201171875","-7.3921356201171875"
"95","-7.877897262573242","-7.877897262573242","-7.877897262573242"
"96","-7.394796371459961","-7.394796371459961","-7.394796371459961"
"97","-7.4034810066223145","-7.4034810066223145","-7.4034810066223145"
"98","-7.462976932525635","-7.462976932525635","-7.462976932525635"
"99","-7.458916664123535","-7.458916664123535","-7.458916664123535"
"100","-7.4167327880859375","-7.4167327880859375","-7.4167327880859375"
"101","-7.426603317260742","-7.426603317260742","-7.426603317260742"
"102","-7.356413841247559","-7.356413841247559","-7.356413841247559"
"103","-7.317079544067383","-7.317079544067383","-7.317079544067383"
"104","-7.402322292327881","-7.402322292327881","-7.402322292327881"
"105","-7.398981094360352","-7.398981094360352","-7.398981094360352"
"106","-7.416071891784668","-7.416071891784668","-7.416071891784668"
"107","-7.417135238647461","-7.417135238647461","-7.417135238647461"
"108","-7.430408477783203","-7.430408477783203","-7.430408477783203"
"109","-7.405672550201416","-7.405672550201416","-7.405672550201416"
"110","-7.356000900268555","-7.356000900268555","-7.356000900268555"
"111","-7.594120025634766","-7.594120025634766","-7.594120025634766"
"112","-7.48268461227417","-7.48268461227417","-7.48268461227417"
"113","-7.409537315368652","-7.409537315368652","-7.409537315368652"
"114","-7.42397403717041","-7.42397403717041","-7.42397403717041"
"115","-7.413444519042969","-7.413444519042969","-7.413444519042969"
"116","-7.3433074951171875","-7.3433074951171875","-7.3433074951171875"
"117","-7.3888349533081055","-7.3888349533081055","-7.3888349533081055"
"118","-7.386575698852539","-7.386575698852539","-7.386575698852539"
"119","-7.354483127593994","-7.354483127593994","-7.354483127593994"
"120","-7.503998756408691","-7.503998756408691","-7.503998756408691"
"121","-7.444872856140137","-7.444872856140137","-7.444872856140137"
"122","-7.411537170410156","-7.411537170410156","-7.411537170410156"
"123","-7.355109214782715","-7.355109214782715","-7.355109214782715"
"124","-7.430859088897705","-7.430859088897705","-7.430859088897705"
"125","-7.4231462478637695","-7.4231462478637695","-7.4231462478637695"
"126","-7.371158123016357","-7.371158123016357","-7.371158123016357"
"127","-7.346068382263184","-7.346068382263184","-7.346068382263184"
"128","-7.381589889526367","-7.381589889526367","-7.381589889526367"
"129","-7.388585090637207","-7.388585090637207","-7.388585090637207"
"130","-7.405235767364502","-7.405235767364502","-7.405235767364502"
"131","-7.44715690612793","-7.44715690612793","-7.44715690612793"
"132","-7.437961578369141","-7.437961578369141","-7.437961578369141"
"133","-7.482320308685303","-7.482320308685303","-7.482320308685303"
"134","-7.431619644165039","-7.431619644165039","-7.431619644165039"
"135","-7.517212390899658","-7.517212390899658","-7.517212390899658"
"136","-7.4166765213012695","-7.4166765213012695","-7.4166765213012695"
"137","-7.471675872802734","-7.471675872802734","-7.471675872802734"
"138","-7.4552788734436035","-7.4552788734436035","-7.4552788734436035"
"139","-7.4966936111450195","-7.4966936111450195","-7.4966936111450195"
"140","-7.463440895080566","-7.463440895080566","-7.463440895080566"
"141","-7.46332311630249","-7.46332311630249","-7.46332311630249"
"142","-7.437313079833984","-7.437313079833984","-7.437313079833984"
"143","-7.45682430267334","-7.45682430267334","-7.45682430267334"
"144","-7.432168483734131","-7.432168483734131","-7.432168483734131"
"145","-7.482363700866699","-7.482363700866699","-7.482363700866699"
"146","-7.455085277557373","-7.455085277557373","-7.455085277557373"
"147","-7.454028606414795","-7.454028606414795","-7.454028606414795"
"148","-7.454099655151367","-7.454099655151367","-7.454099655151367"
"149","-7.443589210510254","-7.443589210510254","-7.443589210510254"
"150","-7.423139572143555","-7.423139572143555","-7.423139572143555"
"151","-7.501965045928955","-7.501965045928955","-7.501965045928955"
"152","-7.453731060028076","-7.453731060028076","-7.453731060028076"
"153","-7.510011672973633","-7.510011672973633","-7.510011672973633"
"154","-7.425119400024414","-7.425119400024414","-7.425119400024414"
"155","-7.506191253662109","-7.506191253662109","-7.506191253662109"
"156","-7.492212772369385","-7.492212772369385","-7.492212772369385"
"157","-7.408534049987793","-7.408534049987793","-7.408534049987793"
"158","-7.4499406814575195","-7.4499406814575195","-7.4499406814575195"
"159","-7.2779436111450195","-7.2779436111450195","-7.2779436111450195"
"160","-7.436009883880615","-7.436009883880615","-7.436009883880615"
"161","-7.380199432373047","-7.380199432373047","-7.380199432373047"
"162","-7.593018531799316","-7.593018531799316","-7.593018531799316"
"163","-7.347506523132324","-7.347506523132324","-7.347506523132324"
"164","-7.504929542541504","-7.504929542541504","-7.504929542541504"
"165","-7.425549030303955","-7.425549030303955","-7.425549030303955"
"166","-7.403231620788574","-7.403231620788574","-7.403231620788574"
"167","-7.50868558883667","-7.50868558883667","-7.50868558883667"
"168","-7.447347164154053","-7.447347164154053","-7.447347164154053"
"169","-7.466056823730469","-7.466056823730469","-7.466056823730469"
"170","-7.458595275878906","-7.458595275878906","-7.458595275878906"
"171","-7.545034885406494","-7.545034885406494","-7.545034885406494"
"172","-7.475177764892578","-7.475177764892578","-7.475177764892578"
"173","-7.4232354164123535","-7.4232354164123535","-7.4232354164123535"
"174","-7.457420349121094","-7.457420349121094","-7.457420349121094"
"175","-7.491855144500732","-7.491855144500732","-7.491855144500732"
"176","-7.455486297607422","-7.455486297607422","-7.455486297607422"
"177","-7.504232406616211","-7.504232406616211","-7.504232406616211"
"178","-7.439108371734619","-7.439108371734619","-7.439108371734619"
"179","-7.468959808349609","-7.468959808349609","-7.468959808349609"
"180","-7.508100509643555","-7.508100509643555","-7.508100509643555"
"181","-7.411569595336914","-7.411569595336914","-7.411569595336914"
"182","-7.459078788757324","-7.459078788757324","-7.459078788757324"
"183","-7.425000190734863","-7.425000190734863","-7.425000190734863"
"184","-7.442525386810303","-7.442525386810303","-7.442525386810303"
"185","-7.486245155334473","-7.486245155334473","-7.486245155334473"
"186","-7.442630290985107","-7.442630290985107","-7.442630290985107"
"187","-7.444940090179443","-7.444940090179443","-7.444940090179443"
"188","-7.522526741027832","-7.522526741027832","-7.522526741027832"
"189","-7.456063270568848","-7.456063270568848","-7.456063270568848"
"190","-7.44789457321167","-7.44789457321167","-7.44789457321167"
"191","-7.474000930786133","-7.474000930786133","-7.474000930786133"
"192","-7.446157455444336","-7.446157455444336","-7.446157455444336"
"193","-7.427148818969727","-7.427148818969727","-7.427148818969727"
"194","-7.449073791503906","-7.449073791503906","-7.449073791503906"
"195","-7.545235633850098","-7.545235633850098","-7.545235633850098"
"196","-7.392651557922363","-7.392651557922363","-7.392651557922363"
"197","-7.4390459060668945","-7.4390459060668945","-7.4390459060668945"
"198","-7.4521965980529785","-7.4521965980529785","-7.4521965980529785"
"199","-7.459593296051025","-7.459593296051025","-7.459593296051025"
"200","-7.481564044952393","-7.481564044952393","-7.481564044952393"
"201","-7.438025951385498","-7.438025951385498","-7.438025951385498"
"202","-7.4481120109558105","-7.4481120109558105","-7.4481120109558105"
"203","-7.459731101989746","-7.459731101989746","-7.459731101989746"
"204","-7.455609321594238","-7.455609321594238","-7.455609321594238"
"205","-7.494505882263184","-7.494505882263184","-7.494505882263184"
"206","-7.435184955596924","-7.435184955596924","-7.435184955596924"
"207","-7.471752643585205","-7.471752643585205","-7.471752643585205"
"208","-7.455571174621582","-7.455571174621582","-7.455571174621582"
"209","-7.3982157707214355","-7.3982157707214355","-7.3982157707214355"
"210","-7.414785385131836","-7.414785385131836","-7.414785385131836"
"211","-7.460655689239502","-7.460655689239502","-7.460655689239502"
"212","-7.44727087020874","-7.44727087020874","-7.44727087020874"
"213","-7.456823825836182","-7.456823825836182","-7.456823825836182"
"214","-7.450954437255859","-7.450954437255859","-7.450954437255859"
"215","-7.435495853424072","-7.435495853424072","-7.435495853424072"
"216","-7.487150192260742","-7.487150192260742","-7.487150192260742"
"217","-7.466243743896484","-7.466243743896484","-7.466243743896484"
"218","-7.447946548461914","-7.447946548461914","-7.447946548461914"
"219","-7.453993797302246","-7.453993797302246","-7.453993797302246"
"220","-7.266951560974121","-7.266951560974121","-7.266951560974121"
